0,2,960,648,5,4,1,0,0
0,2,1008,648,5,4,1,0,0
0,2,1056,648,5,4,1,0,0
0,2,1104,648,5,4,1,0,0
0,2,1152,648,5,4,1,0,0
20,2,1200,648,5,4,1,0,0
68,2,1248,648,5,4,1,0,0
116,2,1296,648,5,4,1,0,0
164,2,1344,648,5,4,1,0,0
212,2,1392,648,5,4,1,0,0
500,2,1680,240,5,4,1,0,0
548,2,1728,240,5,4,1,0,0
596,2,1776,240,5,4,1,0,0
644,2,1824,240,5,4,1,0,0
692,2,1872,240,5,4,1,0,0
740,2,1920,240,5,4,1,0,0
788,2,1968,240,5,4,1,0,0
836,2,2016,240,5,4,1,0,0
884,2,2064,240,5,4,1,0,0
932,2,2112,240,5,4,1,0,0
1220,2,2400,480,5,4,1,0,0
1268,2,2448,456,5,4,1,0,0
1268,2,2448,504,5,4,1,0,0
1316,2,2496,480,5,4,1,0,0
1364,2,2544,456,5,4,1,0,0
1364,2,2544,504,5,4,1,0,0
1412,2,2592,480,5,4,1,0,0
1460,2,2640,456,5,4,1,0,0
1460,2,2640,504,5,4,1,0,0
1508,2,2688,480,5,4,1,0,0
1556,2,2736,456,5,4,1,0,0
1556,2,2736,504,5,4,1,0,0
1604,2,2784,480,5,4,1,0,0
1652,2,2832,456,5,4,1,0,0
1652,2,2832,504,5,4,1,0,0
1700,2,2880,480,5,4,1,0,0
1748,2,2928,456,5,4,1,0,0
1748,2,2928,504,5,4,1,0,0
1796,2,2976,480,5,4,1,0,0
1844,2,3024,480,5,4,1,0,0
2780,2,3960,240,5,4,1,0,0
2780,2,3960,672,5,4,1,0,0
2828,2,4008,264,5,4,1,0,0
2828,2,4008,648,5,4,1,0,0
2876,2,4056,288,5,4,1,0,0
2876,2,4056,624,5,4,1,0,0
2924,2,4104,312,5,4,1,0,0
2924,2,4104,600,5,4,1,0,0
2972,2,4152,336,5,4,1,0,0
2972,2,4152,576,5,4,1,0,0
3020,2,4200,360,5,4,1,0,0
3020,2,4200,552,5,4,1,0,0
3068,2,4248,384,5,4,1,0,0
3068,2,4248,528,5,4,1,0,0
3116,2,4296,408,5,4,1,0,0
3116,2,4296,504,5,4,1,0,0
3164,2,4344,432,5,4,1,0,0
3164,2,4344,480,5,4,1,0,0
3212,2,4392,456,5,4,1,0,0
3308,2,4488,600,5,4,1,0,0
3356,2,4536,576,5,4,1,0,0
3356,2,4536,624,5,4,1,0,0
3428,2,4608,600,5,4,1,0,0
3452,2,4632,576,5,4,1,0,0
3452,2,4632,624,5,4,1,0,0
3500,2,4680,600,5,4,1,0,0
3548,2,4728,576,5,4,1,0,0
3548,2,4728,624,5,4,1,0,0
3596,2,4776,600,5,4,1,0,0
3644,2,4824,576,5,4,1,0,0
3644,2,4824,624,5,4,1,0,0
3692,2,4872,600,5,4,1,0,0
3740,2,4920,576,5,4,1,0,0
3740,2,4920,624,20,4,1,0,0
3788,2,4968,600,20,4,1,0,0
3836,2,5016,576,20,4,1,0,0
3836,2,5016,624,20,4,1,0,0
3884,2,5064,600,20,4,1,0,0
3932,2,5112,600,20,4,1,0,0
1964,0,3144,648,4,0,1,0,0
2036,0,3216,576,4,90,1,0,0
2036,0,3216,720,4,180,1,0,0
2108,0,3288,648,4,260,1,0,0
2108,0,3288,288,4,0,1,0,0
2180,0,3360,216,4,90,1,0,0
2180,0,3360,360,4,180,1,0,0
2252,0,3432,288,4,260,1,0,0
4340,0,5520,480,4,0,1,0,0
4412,0,5592,408,4,90,1,0,0
4412,0,5592,552,4,180,1,0,0
4484,0,5664,480,4,260,1,0,0
2420,3,3600,480,40,1,0,0,0
2492,3,3672,480,40,1,0,0,0
2564,3,3744,480,40,1,0,0,0
2636,3,3816,480,40,1,0,0,0
2708,3,3888,480,40,1,0,0,0
4076,3,5256,480,40,1,0,0,0
4148,8,5328,360,40,1,0,0,0
4148,8,5328,600,40,1,0,0,0
4196,8,5376,480,40,1,0,0,0
4556,8,5736,600,40,1,0,0,0
4556,8,5736,648,40,1,0,0,0
4556,8,5736,696,40,1,0,0,0
4628,8,5808,240,40,1,0,0,0
4628,8,5808,288,40,1,0,0,0
4628,8,5808,336,40,1,0,0,0
4700,8,5880,600,40,1,0,0,0
4700,8,5880,648,40,1,0,0,0
4700,8,5880,696,40,1,0,0,0
4772,8,5952,240,40,1,0,0,0
4772,8,5952,288,40,1,0,0,0
4772,8,5952,336,40,1,0,0,0
5252,8,6432,240,40,1,0,0,0
5252,8,6432,288,40,1,0,0,0
5252,8,6432,336,40,1,0,0,0
5324,8,6504,240,40,1,0,0,0
5324,8,6504,288,40,1,0,0,0
5324,8,6504,336,40,1,0,0,0
5396,8,6576,240,40,1,0,0,0
5396,8,6576,288,40,1,0,0,0
5396,8,6576,336,40,1,0,0,0
6740,8,7920,216,40,1,0,0,0
